"Time","pet friendly hotel","pet friendly cafe","pet friendly restaurant"
"2021-03-01",0,0,0
"2021-04-01",0,0,0
"2021-05-01",0,0,0
"2021-06-01",19,0,0
"2021-07-01",0,0,0
"2021-08-01",0,0,0
"2021-09-01",0,0,0
"2021-10-01",0,0,0
"2021-11-01",0,0,0
"2021-12-01",0,0,0
"2022-01-01",0,0,0
"2022-02-01",0,0,0
"2022-03-01",0,0,0
"2022-04-01",0,0,0
"2022-05-01",0,0,0
"2022-06-01",0,0,0
"2022-07-01",14,0,0
"2022-08-01",12,0,0
"2022-09-01",0,0,0
"2022-10-01",0,0,0
"2022-11-01",0,0,0
"2022-12-01",0,0,0
"2023-01-01",0,0,0
"2023-02-01",0,0,0
"2023-03-01",0,0,0
"2023-04-01",0,0,13
"2023-05-01",17,0,0
"2023-06-01",16,0,0
"2023-07-01",13,0,0
"2023-08-01",16,0,0
"2023-09-01",23,0,0
"2023-10-01",11,0,0
"2023-11-01",20,0,0
"2023-12-01",17,0,0
"2024-01-01",22,0,0
"2024-02-01",17,0,0
"2024-03-01",21,0,0
"2024-04-01",17,0,0
"2024-05-01",18,0,0
"2024-06-01",25,0,0
"2024-07-01",28,0,0
"2024-08-01",32,0,0
"2024-09-01",0,0,0
"2024-10-01",53,0,0
"2024-11-01",82,0,0
"2024-12-01",0,0,0
"2025-01-01",13,0,0
"2025-02-01",66,0,0
"2025-03-01",27,0,0
"2025-04-01",48,0,0
"2025-05-01",61,0,0
"2025-06-01",36,0,0
"2025-07-01",0,0,0
"2025-08-01",0,0,0
"2025-09-01",0,0,0
"2025-10-01",0,0,0
"2025-11-01",82,0,16
"2025-12-01",100,27,36
"2026-01-01",93,29,27
"2026-02-01",69,30,21
