"Time","pet travel"
"2021-02-01",13
"2021-03-01",12
"2021-04-01",14
"2021-05-01",15
"2021-06-01",16
"2021-07-01",17
"2021-08-01",17
"2021-09-01",15
"2021-10-01",15
"2021-11-01",14
"2021-12-01",16
"2022-01-01",16
"2022-02-01",15
"2022-03-01",16
"2022-04-01",18
"2022-05-01",17
"2022-06-01",17
"2022-07-01",18
"2022-08-01",15
"2022-09-01",13
"2022-10-01",15
"2022-11-01",14
"2022-12-01",16
"2023-01-01",14
"2023-02-01",14
"2023-03-01",14
"2023-04-01",14
"2023-05-01",15
"2023-06-01",16
"2023-07-01",15
"2023-08-01",14
"2023-09-01",13
"2023-10-01",12
"2023-11-01",13
"2023-12-01",14
"2024-01-01",14
"2024-02-01",14
"2024-03-01",14
"2024-04-01",14
"2024-05-01",15
"2024-06-01",15
"2024-07-01",17
"2024-08-01",15
"2024-09-01",14
"2024-10-01",14
"2024-11-01",16
"2024-12-01",16
"2025-01-01",15
"2025-02-01",15
"2025-03-01",16
"2025-04-01",17
"2025-05-01",20
"2025-06-01",22
"2025-07-01",32
"2025-08-01",87
"2025-09-01",82
"2025-10-01",80
"2025-11-01",97
"2025-12-01",100
"2026-01-01",90
"2026-02-01",88
